method,SR,SPL,CollisionRate,PathLenRatio,LatencyMs
BEV-VAWA Gibson seed=12345,0.0,0.0,1.0,nan,3.7610891864059512
BEV-VAWA Gibson seed=42,0.01,0.01,1.0,0.9666434939617796,2.8080809632520793
BEV-VAWA Gibson seed=7,0.0,0.0,1.0,nan,2.710486763038989
BEV-VAWA Gibson seed=31337,0.01,0.01,0.99,0.9733927393151272,2.6914192096156633
BEV-VAWA Gibson seed=12345 +safety,0.0,0.0,1.0,nan,3.2744134203840956
BEV-VAWA Gibson seed=42 +safety,0.03,0.028665054336583326,1.0,1.0367710562844865,3.0695869384419687
BEV-VAWA Gibson seed=7 +safety,0.0,0.0,1.0,nan,3.004329444971426
BEV-VAWA Gibson seed=31337 +safety,0.02,0.01965015417142762,0.99,1.0030538278362584,2.916932350180845
